ano;mes;mes_nome;mes_ordem;produto;volume_barris;dispendio_usd_fob;unidade_volume;unidade_dispendio
2013;JUL;Julho;7;GLP;2580795,97227625;143977315,0;b;US$ FOB
2013;AGO;Agosto;8;GLP;2889476,7274666666;161245330,0;b;US$ FOB
2013;SET;Setembro;9;GLP;1304948,28223375;84211308,0;b;US$ FOB
2013;OUT;Outubro;10;GLP;1663513,7256366664;104022867,0;b;US$ FOB
2013;NOV;Novembro;11;GLP;1658355,3293941668;103995977,0;b;US$ FOB
2013;DEZ;Dezembro;12;GLP;1755734,1564195836;126883095,0;b;US$ FOB
2014;JAN;Janeiro;1;GLP;2942846,87059125;203331854,0;b;US$ FOB
2014;FEV;Fevereiro;2;GLP;1696101,4933220833;125826236,0;b;US$ FOB
2014;MAR;Março;3;GLP;1829362,5469391667;124721958,0;b;US$ FOB
2014;ABR;Abril;4;GLP;1422568,3559358332;91977052,0;b;US$ FOB
2014;MAI;Maio;5;GLP;1479756,5732545834;97239976,0;b;US$ FOB
2014;JUN;Junho;6;GLP;1151692,2758587499;65590563,0;b;US$ FOB
2014;JUL;Julho;7;GLP;5262131,526443333;313721075,0;b;US$ FOB
2014;AGO;Agosto;8;GLP;2279244,317910417;134452638,0;b;US$ FOB
2014;SET;Setembro;9;GLP;891785,3167679168;53844642,0;b;US$ FOB
2014;OUT;Outubro;10;GLP;1151993,9246633335;66688453,0;b;US$ FOB
2014;NOV;Novembro;11;GLP;2577619,6182262497;144505023,0;b;US$ FOB
2014;DEZ;Dezembro;12;GLP;1611938,7421433332;85906344,0;b;US$ FOB
2015;JAN;Janeiro;1;GLP;1625073,187195;67011285,0;b;US$ FOB
2015;FEV;Fevereiro;2;GLP;1159231,2170566663;42291751,0;b;US$ FOB
2015;MAR;Março;3;GLP;1708278,155277083;52731866,0;b;US$ FOB
2015;ABR;Abril;4;GLP;2269572,0600316664;68716670,0;b;US$ FOB
2015;MAI;Maio;5;GLP;612867,9994704167;19114577,0;b;US$ FOB
2015;JUN;Junho;6;GLP;1497554,1148004169;45418737,0;b;US$ FOB
2015;JUL;Julho;7;GLP;1222197,3427191672;38387355,0;b;US$ FOB
2015;AGO;Agosto;8;GLP;1001002,8651958335;24878610,0;b;US$ FOB
2015;SET;Setembro;9;GLP;1555787,4319079167;41975512,0;b;US$ FOB
2015;OUT;Outubro;10;GLP;1426814,99180375;33928814,0;b;US$ FOB
2015;NOV;Novembro;11;GLP;4112129,8990975004;115143473,0;b;US$ FOB
2015;DEZ;Dezembro;12;GLP;1881348,8976800004;46942949,0;b;US$ FOB
2016;JAN;Janeiro;1;GLP;496081,2572258333;10502633,0;b;US$ FOB
2016;FEV;Fevereiro;2;GLP;4215591,997905417;97194767,0;b;US$ FOB
2016;MAR;Março;3;GLP;1224404,8837158333;26324031,0;b;US$ FOB
2016;ABR;Abril;4;GLP;3252710,3493479174;81645630,0;b;US$ FOB
2016;MAI;Maio;5;GLP;2711196,6550337505;61457452,0;b;US$ FOB
2016;JUN;Junho;6;GLP;2812459,6562312506;69911608,0;b;US$ FOB
2016;JUL;Julho;7;GLP;2330815,8716341667;59403676,0;b;US$ FOB
2016;AGO;Agosto;8;GLP;2754161,5837066662;72612015,0;b;US$ FOB
2016;SET;Setembro;9;GLP;2338744,7810520832;50940056,0;b;US$ FOB
