ano;mes;mes_nome;mes_ordem;produto;unidade;volume_barris
2002;JUN;Junho;6;COQUE;b;911862,452958125
2002;JUL;Julho;7;COQUE;b;1787153,0112996541
2002;AGO;Agosto;8;COQUE;b;506862,1071770289
2002;SET;Setembro;9;COQUE;b;811521,1261239134
2002;OUT;Outubro;10;COQUE;b;1241906,6854250482
2002;NOV;Novembro;11;COQUE;b;1356273,5809556344
2002;DEZ;Dezembro;12;COQUE;b;841609,2184851635
2003;JAN;Janeiro;1;COQUE;b;1183302,1548805097
2003;FEV;Fevereiro;2;COQUE;b;1651363,1862022115
2003;MAR;Março;3;COQUE;b;1705304,0222122597
2003;ABR;Abril;4;COQUE;b;1750058,1915562884
2003;MAI;Maio;5;COQUE;b;712854,4007232595
2003;JUN;Junho;6;COQUE;b;1076829,3095820001
2003;JUL;Julho;7;COQUE;b;1495705,629395673
2003;AGO;Agosto;8;COQUE;b;969526,4694229421
2003;SET;Setembro;9;COQUE;b;1005111,5775210577
2003;OUT;Outubro;10;COQUE;b;1578973,7205769517
2003;NOV;Novembro;11;COQUE;b;1795562,2514017785
2003;DEZ;Dezembro;12;COQUE;b;729317,2768425288
2004;JAN;Janeiro;1;COQUE;b;946546,8663121345
2004;FEV;Fevereiro;2;COQUE;b;677199,7781288557
2004;MAR;Março;3;COQUE;b;1879385,3155013553
2004;ABR;Abril;4;COQUE;b;1026671,9696758847
2004;MAI;Maio;5;COQUE;b;1465926,5965254041
2004;JUN;Junho;6;COQUE;b;1453493,341613683
2004;JUL;Julho;7;COQUE;b;1283037,2831322884
2004;AGO;Agosto;8;COQUE;b;1352948,5091865
2004;SET;Setembro;9;COQUE;b;1346838,4426030386
2004;OUT;Outubro;10;COQUE;b;1628332,3453314807
2004;NOV;Novembro;11;COQUE;b;938464,3878874038
2004;DEZ;Dezembro;12;COQUE;b;1510075,172076423
2005;JAN;Janeiro;1;COQUE;b;1251095,4990935193
2005;FEV;Fevereiro;2;COQUE;b;833747,6152056347
2005;MAR;Março;3;COQUE;b;957362,3518523846
2005;ABR;Abril;4;COQUE;b;1631624,4923644233
2005;MAI;Maio;5;COQUE;b;1355649,2749778752
2005;JUN;Junho;6;COQUE;b;930113,9635566731
2005;JUL;Julho;7;COQUE;b;453743,4823876538
2005;AGO;Agosto;8;COQUE;b;1796955,2628799519
2005;SET;Setembro;9;COQUE;b;1327661,350175625
2005;OUT;Outubro;10;COQUE;b;1294286,257539423
2005;NOV;Novembro;11;COQUE;b;1372558,3949729616
2005;DEZ;Dezembro;12;COQUE;b;1162121,9696443945
2006;JAN;Janeiro;1;COQUE;b;1182991,9402417308
2006;FEV;Fevereiro;2;COQUE;b;1395167,6371368654
2006;MAR;Março;3;COQUE;b;1445322,9207589424
2006;ABR;Abril;4;COQUE;b;1330695,530328048
2006;MAI;Maio;5;COQUE;b;1364485,1335390385
2006;JUN;Junho;6;COQUE;b;745405,0444179231
2006;JUL;Julho;7;COQUE;b;2000348,3045394712
2006;AGO;Agosto;8;COQUE;b;1914308,0763670001
2006;SET;Setembro;9;COQUE;b;1367543,0637721058
2006;OUT;Outubro;10;COQUE;b;1000330,5598863846
2006;NOV;Novembro;11;COQUE;b;1421948,1300954137
2006;DEZ;Dezembro;12;COQUE;b;1043387,9743602884
2007;JAN;Janeiro;1;COQUE;b;1166789,7223159135
2007;FEV;Fevereiro;2;COQUE;b;1924109,692918404
