ano;produto;volume_barris
2025;ÓLEO DIESEL;107509050,9278871
2026;ASFALTO;1412530,5032288001
2026;COQUE;17334523,359599307
2026;GASOLINA A;16136895,066794204
2026;GASOLINA DE AVIAÇÃO;0,0
2026;GLP;7857529,361002084
2026;LUBRIFICANTE;3896280,3708889615
2026;NAFTA;14329799,285259329
2026;OUTROS NÃO ENERGÉTICOS;82218,96946495371
2026;PARAFINA;271293,64203150006
2026;QUEROSENE DE AVIAÇÃO;4240930,746408314
2026;QUEROSENE ILUMINANTE;0,0
2026;SOLVENTE;2850726,588323603
2026;ÓLEO COMBUSTÍVEL;280964,5612223402
2026;ÓLEO DIESEL;52766685,4869583
