codigo_tse,uf,nome_municipio,codigo_ibge,POP_2022
38032,BA,POÇÕES,2925105,48197
38113,BA,PRADO,2925501,31715
38130,BA,PRESIDENTE DUTRA,2925600,15133
38156,BA,PRESIDENTE JÂNIO QUADROS,2925709,12627
38164,BA,PRESIDENTE TANCREDO NEVES,2925758,27662
39810,BA,PÉ DE SERRA,2924058,13242
38172,BA,QUEIMADAS,2925808,26027
38199,BA,QUINJINGUE,2925907,27317
39845,BA,QUIXABEIRA,2925931,9429
39853,BA,RAFAEL JAMBEIRO,2925956,20242
38210,BA,REMANSO,2926004,40531
38237,BA,RETIROLÂNDIA,2926103,13654
38296,BA,RIACHO DE SANTANA,2926400,39127
38253,BA,RIACHÃO DAS NEVES,2926202,22289
38270,BA,RIACHÃO DO JACUÍPE,2926301,33422
38318,BA,RIBEIRA DO AMPARO,2926509,13831
38334,BA,RIBEIRA DO POMBAL,2926608,53997
38342,BA,RIBEIRÃO DO LARGO,2926657,10382
38350,BA,RIO DE CONTAS,2926707,13634
38377,BA,RIO DO ANTÔNIO,2926806,13098
38393,BA,RIO DO PIRES,2926905,9585
38415,BA,RIO REAL,2927002,35378
38431,BA,RODELAS,2927101,10303
38458,BA,RUY BARBOSA,2927200,30172
38474,BA,SALINAS DA MARGARIDA,2927309,14989
38490,BA,SALVADOR,2927408,2610987
38539,BA,SANTA BRÍGIDA,2927606,14979
38512,BA,SANTA BÁRBARA,2927507,22446
38555,BA,SANTA CRUZ CABRÁLIA,2927705,30385
38571,BA,SANTA CRUZ DA VITÓRIA,2927804,4672
38598,BA,SANTA INÊS,2927903,10293
39870,BA,SANTA LUZIA,2928059,11776
38636,BA,SANTA MARIA DA VITÓRIA,2928109,38686
35491,BA,SANTA RITA DE CÁSSIA,2928406,28084
38695,BA,SANTA TEREZINHA,2928505,9790
38610,BA,SANTALUZ,2928000,37079
38652,BA,SANTANA,2928208,24778
38679,BA,SANTANÓPOLIS,2928307,9831
38717,BA,SANTO AMARO,2928604,55935
38733,BA,SANTO ANTÔNIO DE JESUS,2928703,103055
38750,BA,SANTO ESTEVÃO,2928802,55696
38911,BA,SAPEAÇU,2929602,17993
38946,BA,SAUBARA,2929750,11433
38954,BA,SAÚDE,2929800,10482
38970,BA,SEABRA,2929909,49587
38997,BA,SEBASTIÃO LARANJEIRAS,2930006,9373
39012,BA,SENHOR DO BONFIM,2930105,77514
39039,BA,SENTO SÉ,2930204,37389
39047,BA,SERRA DO RAMALHO,2930154,34270
39055,BA,SERRA DOURADA,2930303,16691
39071,BA,SERRA PRETA,2930402,18090
39098,BA,SERRINHA,2930501,85696
39110,BA,SERROLÂNDIA,2930600,13320
39136,BA,SIMÕES FILHO,2930709,127093
39985,BA,SOBRADINHO,2930774,24799
39152,BA,SOUTO SOARES,2930808,16904
38938,BA,SÁTIRO DIAS,2929701,16021
38776,BA,SÃO DESIDÉRIO,2928901,36793
38806,BA,SÃO DOMINGOS,2928950,8417
38814,BA,SÃO FELIPE,2929107,20286
38830,BA,SÃO FRANCISCO DO CONDE,2929206,37892
38792,BA,SÃO FÉLIX,2929008,10946
38822,BA,SÃO FÉLIX DO CORIBE,2929057,15704
39896,BA,SÃO GABRIEL,2929255,18417
38857,BA,SÃO GONÇALO DOS CAMPOS,2929305,39570
39926,BA,SÃO JOSÉ DA VITÓRIA,2929354,5321
38865,BA,SÃO JOSÉ DO JACUÍPE,2929370,10195
38873,BA,SÃO MIGUEL DAS MATAS,2929404,10334
38890,BA,SÃO SEBASTIÃO DO PASSÉ,2929503,40376
39144,BA,SÍTIO DO MATO,2930758,13408
39900,BA,SÍTIO DO QUINTO,2930766,14778
39179,BA,TABOCAS DO BREJO VELHO,2930907,11990
39195,BA,TANHAÇU,2931004,21407
39918,BA,TANQUE NOVO,2931053,18459
39217,BA,TANQUINHO,2931103,7729
39233,BA,TAPEROÁ,2931202,18016
39250,BA,TAPIRAMUTÁ,2931301,15884
39934,BA,TEIXEIRA DE FREITAS,2931350,147454
39276,BA,TEODORO SAMPAIO,2931400,7220
39292,BA,TEOFILÂNDIA,2931509,21811
39314,BA,TEOLÂNDIA,2931608,15892
39330,BA,TERRA NOVA,2931707,10802
39357,BA,TREMEDAL,2931806,17497
