Discriminação;Dez/1997;Dez/1998;Dez/1999;Dez/2000;Dez/2001;Dez/2002;Dez/2003;Dez/2004;Dez/2005;Dez/2006;Dez/2007;Dez/2008;Dez/2009;Dez/2010;Dez/2011;Dez/2012;Dez/2013;Dez/2014;Dez/2015;Dez/2016;Dez/2017;Dez/2018;Dez/2019;Dez/2020;Dez/2021;Dez/2022;Dez/2023;Dez/2024;Dez/2025
4.3.15.1.20 Subv. Parcial à Remuneração por Cessão de Energia Elétrica de Itaipu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223.1221444349484;803.108750658727;974.485453268865;788.1763253928934;1418.0066906106795;340.0507697413098;0;0;0;0;0;0;0;0;0
4.3.15.1.21 Subvenções Econômicas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299.06147467229283;0;0;0;0;0;0;0;0;0;0;0
4.3.15.1.22 Equalização dos Fundos FDA/FDNE/FDCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.984172582129014;29.186166398777736;113.62705395887;75.02455515846908;68.33065856229634;59.41968490506508;51.365542534380815;42.793654930394865;32.15354763358037;28.69903451929171;20.031823248616718;13.63552755674888
4.3.15.1.23 Sudene;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536.7423436832725;62.534549989629795;26.829758827609698;8.40116413891998;125.26219272121023;79.69983171045062;0.044487366248484456;0
4.3.15.1.24 Receitas de Recuperação de Subvenções 8/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-402.17444747418153;-18.836013814048755;-26.3638043879182;-107.69750149453509;-71.8722525503784;-248.61334851419105;-400.1252388322233;-276.29302637402685;-201.92313039188116;-191.42474886595198;-46.48816021753647
4.3.15.2 Proagro;0;0;0;0;0;0;107.71005771491882;63.798459306688;2554.338866746698;1658.2472390953565;140.07017813605114;153.4251432838091;923.5010064540755;0;0;1319.139765173251;887.5899018826965;0;1919.1131780491576;1856.2770796454738;1039.3519496100594;243.6893871217759;421.1124053674168;2742.1325748376203;2193.648158729507;6004.669926878404;10734.986455251354;6012.729513190008;5264.127176329127
4.3.15.3 PNAFE;0;0;0;0;0;0;0;131.4777560491611;-70.5964133357476;-259.1977672202435;-200.13148174145354;-72.89613806032915;-156.2010020544143;-86.57572157426938;-42.9474492508379;29.885800489321845;-127.27032092353079;-160.73616543967302;-233.0040826194395;-175.25521381339365;-267.952021494036;-103.82505480224313;-66.8584043764715;31.216433822555828;-174.65716827630436;123.58147195479506;76.43842217453917;-14.277275963626927;-112.60213627779643
4.3.15.4 Demais Subsídios e Subvenções;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242.67553614468915;0;3.8584089819768423;0;17125.191596648794;-3831.5442948074083;-4729.087010592151;-3036.4476443771864;801.8782862045352;-20.857697738957224
4.3.16 Transferências ANA;0;0;0;0;0;0;0;0;0;52.328082871533844;883.2385318295751;965.3722033289812;71.02395960029611;77.44477695466931;440.19853433997264;247.20771551206352;541.1370332783426;463.6073393227036;493.67477721078853;463.41180516338386;477.91949601965484;460.77832558971585;327.880589126952;107.67347381111104;198.5582530606742;160.6771916000544;164.36545083748913;125.52031387329134;92.98425924398978
4.3.17 Transferências Multas ANEEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85.95793278106545;1498.4960995054898;1371.6464832780432;1409.600384980727;1396.9678977582207;1421.2649797914287;2748.1198557439347;1571.2566101711018;1916.7893845344574;2299.7585425296684;2520.244912415358;2056.4737116798265
4.3.18 Impacto Primário do FIES;0;0;0;0;0;0;0;0;0;0;0;0;0;2158.7221793992185;3735.2431934787787;7137.772273904049;9947.047424637456;12150.03618915532;10160.518135896722;11424.232755040184;9783.135382131968;4314.77525502485;2834.4556731337784;-267.902371163379;-1733.5060077042083;884.0239906222355;1854.027840719892;1654.2424274812743;2293.1545200272903
4.3.19 Financiamento de Campanha Eleitoral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2597.2211843647297;0;2888.585919255922;0;5942.738471459614;0;5442.460574466979;0
4.3.20 Demais Despesas Obrigatórias;4717.7823631440915;719.6430233909816;0;0;0;0;0;151.88762136106877;197.3867371034159;209.4426166170753;880.1263748509499;766.7103149667064;1269.5046422310738;4764.683357956991;2931.420855553048;5217.251324770816;19625.50733872933;20587.18572626641;3268.7008128774146;1603.7407945935952;492.06876425416607;0;0;0;0;0;0;0;0
4.3.20.1 Auxílio CDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16030.883938425179;17850.95708693359;2345.933100330955;498.06165896804;0;0;0;0;0;0;0;0;0
4.3.20.2 Convênios;4717.7823631440915;719.6430233909816;0;0;0;0;0;0;0;0;0;0;324.6626424998172;675.3415400560626;816.2888803349865;1079.959483485349;690.2933946812275;565.6948854911217;352.36501154059795;346.7133219760918;379.03672136884745;0;0;0;0;0;0;0;0
4.3.20.3 Doações;0;0;0;0;0;0;0;151.88762136106877;197.3867371034159;209.4426166170753;880.1263748509499;766.7103149667064;108.10496527847641;88.41726680981853;77.38722591702393;172.67367071571803;523.7749918482637;543.1165962403065;570.4027010058621;758.9658136494636;113.03204288531862;0;0;0;0;0;0;0;0
4.3.20.4 FDA/FDNE;0;0;0;0;0;0;0;0;0;0;0;0;836.7370344527804;4000.9245510911096;2037.744749301038;3920.1191659700567;2380.555013774662;1627.4171576013828;0;0;0;0;0;0;0;0;0;0;0
4.3.20.5 Reserva de Contingência;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.3.20.6 Ressarc. Est/Mun. Comb. Fósseis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.49900459969179;0;0;0;0;0;0;0;0;0;0;0;0;0
4.4  Despesas do Poder Executivo Sujeitas à Programação Financeira;201195.9605343605;219529.50215995422;191057.14830824704;200047.0754556793;221897.53327892354;237481.9785829053;189462.92055494216;226010.89868369218;235586.75352672464;252838.3854707892;283201.3728400697;331266.4830406251;332874.3445119462;477034.1993854474;394930.70931124035;429948.28131908807;454103.340886699;501955.59105292615;429391.78528439044;441724.09802598326;380033.340490848;404841.5124902124;448662.51232941734;343025.3777399554;350740.6617208537;445168.56432589685;584550.8778515003;594165.5740642726;601109.7739302235
4.4.1 Obrigatórias com Controle de Fluxo;0;0;0;0;0;0;0;0;0;0;0;135946.09690386654;147662.4985641223;160430.4505562225;179202.9876302756;193117.80214979494;200356.49659881057;217483.28414819267;204408.4181245697;210633.77426759983;195320.44818095004;208742.08600201042;209391.05613731942;189475.43936103172;190218.17751119158;263197.2992160496;374780.5057038905;392431.6832091055;387066.6522084905
4.4.1.1 Benefícios a servidores públicos;0;0;0;0;0;0;0;0;0;0;0;4296.833025104962;9897.667563681547;13135.872650747126;14130.013133907269;14421.01945845877;16944.94445312805;17835.803987975814;16403.914611666944;21405.095297206637;20559.508634484348;20038.52822450328;20213.786691170535;19041.181858699027;18108.036346759643;17215.55004543205;17683.623144424495;20455.778809284533;22313.946540184053
4.4.1.2 Bolsa Família e Auxílio Brasil;0;0;0;0;0;0;0;0;0;0;0;29138.448256381333;30216.562571974617;32838.959588282196;38888.55194977694;45935.00159565682;50822.441648789725;51836.49826362172;48003.4203438101;46887.57130184183;44502.22476525148;46216.208009106456;48346.38082878857;26902.85990939045;33639.687792596036;105887.36949299864;191042.94798172978;184983.40322185436;165819.248234586
4.4.1.3 Saúde;0;0;0;0;0;0;0;0;0;0;0;94039.42417797528;97962.39681828905;103251.9327245495;113224.89441703775;118340.88451504946;116646.60554421807;132022.723750974;126354.48811821548;129719.09305935161;118167.43855233816;125244.22585917515;126380.39415419835;126096.09754368337;122320.0637873338;125453.64804180458;148700.01409828634;167648.08062685787;178605.98122849298
4.4.1.4 Educação;0;0;0;0;0;0;0;0;0;0;0;7043.05537606382;8844.702890922112;10796.700312714423;11695.770031957689;13316.032704674339;14389.779337078624;12703.410647293304;11112.00827669368;9587.787381869151;9741.541525509083;9804.882109571994;8406.50745710375;9692.849687111604;9451.676863723953;7597.35998632148;9401.16530563686;8843.089149413554;8934.667773836114
4.4.1.5 Demais;0;0;0;0;0;0;0;0;0;0;0;1428.336068341112;741.1687192549698;406.9852799292157;1263.758097595934;1104.8638759555122;1552.7256155961043;3084.847498327806;2534.5867741834677;3034.2272273306053;2349.7347033669957;7438.241799653524;6043.987006058185;7742.450362147236;6698.712720778149;7043.371649492823;7952.755173813054;10501.331401695132;11392.808431391288
4.4.2 Despesas Discricionárias;0;0;0;0;0;0;0;0;0;0;0;195320.38613675858;185211.8459478239;316603.7488292249;215727.7216809647;236830.4791692932;253746.84428788847;284472.30690473365;224983.36715982077;231090.32375838337;184712.8923098979;196099.42648820195;239271.45619209792;153549.9383789237;160522.4842096621;181971.26510984724;209770.37214760977;201733.89085516706;214043.1217217332
4.4.2.1 Saúde;0;0;0;0;0;0;0;0;0;0;0;19888.33769664851;20299.26664559984;20816.988623429716;21032.379185040525;26020.081673934583;29353.61060364682;30771.38514403973;29817.002755292386;32482.62231609944;36219.10035100182;43904.07356817968;42646.135337221465;33657.592745329566;38831.131891679965;39714.07558869172;43747.0612400975;56564.38134298565;60637.71900790192
4.4.2.2 Educação;0;0;0;0;0;0;0;0;0;0;0;20774.451716933127;24273.673532653163;32288.564449368045;36918.95626151455;48687.34388295531;49368.77408536331;60285.33446195672;48579.525381742154;47152.14941575837;37448.83030163485;37784.09674626443;31956.484258092056;27380.14439575488;25566.455548696646;24196.74413024352;39950.898174077025;31408.771995454867;34194.673883872114
