Colegiado;AreaAtuacao;Membro;Posse;Exoneracao;StatusMembroColegiado
Conselho Monetário Nacional - CMN;Membro Nomeado;Jorge Amorim Baptista da Silva;1973-08-14T03:00:00Z;1982-08-09T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Avelino Antônio Vieira;1973-08-14T03:00:00Z;1974-09-02T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;José Francisco de Moura Cavalcanti;1973-05-09T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente Banco Nacional da Habitação (BNH);Rubens Vaz da Costa;1972-09-14T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;Giampaolo Marcello Falco;1972-09-14T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Área Administrativa e do Crédito Rural e Industrial;Paulo Yokota;1971-03-09T03:00:00Z;1973-08-23T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Membro Nomeado;Paulo Yokota;1971-03-01T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);Marcos Pereira Vianna;1970-10-23T02:00:00Z;1979-03-14T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Marcus Vinicius Pratini de Moraes;1970-02-23T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Área Bancária;Luiz de Carvalho e Mello Filho;1969-12-03T02:00:00Z;1974-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Área Cambial/Externa;Paulo Hortênsio Pereira Lira;1969-12-03T02:00:00Z;1974-03-15T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Membro Nomeado;Fernando Roquette Reis;1969-12-03T02:00:00Z;1971-03-01T03:00:00Z;Exonerado
Diretoria Colegiada;Área de Mercado de Capitais;Francisco de Boni Neto;1969-12-03T02:00:00Z;1974-01-15T02:00:00Z;Exonerado
Diretoria Colegiada;Área Administrativa e do Crédito Rural e Industrial;Fernando Roquette Reis;1969-12-03T02:00:00Z;1971-03-01T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Interior;José Costa Cavalcanti;1969-12-02T02:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Luiz Fernando Cirne Lima;1969-12-02T02:00:00Z;1973-05-09T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Luiz de Carvalho e Mello Filho;1969-11-28T02:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Francisco de Boni Neto;1969-11-28T02:00:00Z;1974-01-15T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;João Paulo dos Reis Velloso;1969-10-30T02:00:00Z;1979-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Fabio Riodi Yassuda;1969-10-30T02:00:00Z;1970-02-23T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Paulo Hortênsio Pereira Lira;1968-03-25T03:00:00Z;1974-03-15T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Ernane Galvêas;1968-02-21T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Ernane Galvêas;1968-02-21T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Ernane Galvêas;1968-02-21T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Paulo Hortênsio Pereira Lira;1968-02-16T02:00:00Z;1974-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Ary Burger;1968-02-07T02:00:00Z;1968-02-21T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Germano de Brito Lyra;1967-04-24T03:00:00Z;1969-11-28T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Hélio Marques Vianna;1967-04-24T03:00:00Z;1969-11-28T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Hélio Marques Vianna;1967-04-17T03:00:00Z;1969-11-28T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Germano de Brito Lyra;1967-04-17T03:00:00Z;1969-11-28T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Ary Burger;1967-03-31T03:00:00Z;1969-11-28T02:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Ruy Aguiar da Silva Leme;1967-03-31T03:00:00Z;1968-02-12T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Ruy Aguiar da Silva Leme;1967-03-31T03:00:00Z;1968-02-12T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Ary Burger;1967-03-31T03:00:00Z;1969-11-28T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Ruy Aguiar da Silva Leme;1967-03-31T03:00:00Z;1968-02-12T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);Jayme Magrassi de Sá;1967-03-17T03:00:00Z;1970-10-23T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Brasil;Nestor Jost;1967-03-17T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Edmundo Macedo Soares e Silva;1967-03-15T03:00:00Z;1969-10-30T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Hélio Marcos Penna Beltrão;1967-03-15T03:00:00Z;1969-10-30T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Antônio Delfim Netto;1967-03-15T03:00:00Z;1974-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Antônio de Abreu Coutinho;1966-06-28T03:00:00Z;1967-03-21T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Antônio de Abreu Coutinho;1966-06-22T03:00:00Z;1967-03-21T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Paulo Egydio Martins;1966-01-13T02:00:00Z;1967-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Aldo Baptista Franco da Silva Santos;1965-04-13T03:00:00Z;1967-04-17T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Casimiro Antônio Ribeiro;1965-04-13T03:00:00Z;1967-04-17T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor;Luiz Biolchini;1965-04-13T03:00:00Z;1966-06-22T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Dênio Chagas Nogueira;1965-04-12T03:00:00Z;1967-03-21T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Dênio Chagas Nogueira;1965-04-12T03:00:00Z;1967-03-21T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Luiz Biolchini;1965-04-12T03:00:00Z;1966-06-22T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Gastão Eduardo de Bueno Vidigal;1965-04-12T03:00:00Z;1973-04-12T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Casimiro Antônio Ribeiro;1965-04-12T03:00:00Z;1967-04-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Ruy de Castro Magalhães;1965-04-12T03:00:00Z;1972-04-13T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Aldo Baptista Franco da Silva Santos;1965-04-12T03:00:00Z;1967-04-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Dênio Chagas Nogueira;1965-04-12T03:00:00Z;1967-03-21T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Brasil;Luiz de Moraes Barros;1964-12-31T02:00:00Z;1967-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);José Garrido Torres;1964-12-31T02:00:00Z;1967-03-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Octávio Gouvêa de Bulhões;1964-12-31T02:00:00Z;1967-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Daniel Agostinho Faraco;1964-12-31T02:00:00Z;1966-01-13T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Roberto de Oliveira Campos;1964-12-31T02:00:00Z;1967-03-15T03:00:00Z;Exonerado
