year,month_name,period,vol_import_bbl,dispendio_importacao_usd_fob,custo_prod_c1_usd,custo_prod_c2_usd,lucro_liquido_incremental_c1_usd,lucro_liquido_incremental_c2_usd
2017,Julho,2017-07,19532094.330496933,1058989927,390641886.6099387,488302358.26242334,668348040.3900614,570687568.7375765
2017,Agosto,2017-08,20660203.40296506,1133530045,413204068.05930126,516505085.07412654,720325976.9406987,617024959.9258732
2017,Setembro,2017-09,17685625.825485148,983752950,353712516.5097029,442140645.6371287,630040433.4902968,541612304.3628708
2017,Outubro,2017-10,21437957.969821274,1311663126,428759159.3964255,535948949.24553186,882903966.6035745,775714176.754468
2017,Novembro,2017-11,13717406.76010379,954511762,274348135.2020758,342935169.00259477,680163626.7979242,611576592.997405
2017,Dezembro,2017-12,17826258.038027372,1234441768,356525160.76054746,445656450.9506843,877916607.2394526,788785317.0493157
2018,Janeiro,2018-01,21367728.461626347,1445623390,427354569.23252696,534193211.54065865,1018268820.7674727,911430178.4593412
2018,Fevereiro,2018-02,19199575.370815538,1227914227,383991507.4163108,479989384.2703884,843922719.5836893,747924842.7296116
2018,Março,2018-03,17886289.743740004,1204829082,357725794.8748001,447157243.5935001,847103287.1251999,757671838.4065001
2018,Abril,2018-04,16400826.929048253,1109829768,328016538.58096504,410020673.2262063,781813229.419035,699809094.7737939
2018,Maio,2018-05,11449294.149898943,832508787,228985882.99797887,286232353.74747354,603522904.0020213,546276433.2525265
2018,Junho,2018-06,13603067.548645452,967091021,272061350.97290903,340076688.7161363,695029670.0270909,627014332.2838632
2018,Julho,2018-07,18855675.730732683,1325399788,377113514.61465365,471391893.2683171,948286273.3853458,854007894.7316829
2018,Agosto,2018-08,18657003.74142828,1322376205,373140074.8285656,466425093.53570694,949236130.1714348,855951111.4642932
2018,Setembro,2018-09,11669078.847581794,881063338,233381576.9516359,291726971.18954486,647681761.048364,589336366.8104552
2018,Outubro,2018-10,17062402.742561754,1327188282,341248054.8512351,426560068.5640438,985940227.1487653,900628213.4359565
2018,Novembro,2018-11,17641219.61319961,1347774915,352824392.2639922,441030490.32999027,994950522.7360077,906744424.67001
2018,Dezembro,2018-12,22241032.834390346,1705628352,444820656.6878069,556025820.8597586,1260807695.3121927,1149602531.1402411
2019,Janeiro,2019-01,16713491.913337432,1096623834,334269838.26674867,417837297.8334358,762353995.7332511,678786536.1665643
2019,Fevereiro,2019-02,16610996.0655738,975038151,332219921.311476,415274901.639345,642818229.688524,559763249.3606547
2019,Março,2019-03,15763226.87618268,975587119,315264537.52365357,394080671.904567,660322581.4763464,581506447.0954329
2019,Abril,2019-04,16628454.76621183,1135849711,332569095.32423663,415711369.1552957,803280615.6757634,720138341.844704
2019,Maio,2019-05,18621314.180230606,1255315645,372426283.6046121,465532854.50576514,882889361.3953882,789782790.494235
