year,month,month_name,period,vol_import_bbl,spend_import_usd_fob,price_import_usd_bbl,vol_national_bbl,vol_total_bbl,wac_c1_usd_bbl,wac_c2_usd_bbl,diff_wac_minus_20,diff_wac_minus_25,foregone_revenue_c1_usd,foregone_revenue_c2_usd
2013,6,Junho,2013-06,9450662.123523943,991489453,104.91216806196596,62682354.17066148,72133016.29418543,31.124950151214012,35.469864407608014,11.124950151214012,10.469864407608014,802476210.529521,755222899.911901
2013,7,Julho,2013-07,15608617.592438,1369579588,87.74509208704866,65938249.988176435,81546867.58061443,32.96686516015988,37.00983161273343,12.966865160159877,12.009831612733429,1057407236.1512402,979364148.18905
2013,8,Agosto,2013-08,17799556.156090993,1589148662,89.28024092646797,64001835.81477132,81801391.97086231,35.075019008447086,38.987045092157786,15.075019008447086,13.987045092157786,1233157538.8781803,1144159758.097725
2013,9,Setembro,2013-09,13171485.445619479,1297823186,98.53278822333779,59112614.162573144,72284099.60819262,34.310110836192436,38.39901935708334,14.310110836192436,13.39901935708334,1034393477.0876107,968536049.8595132
2013,10,Outubro,2013-10,17553976.084008057,1727176461,98.39232164463779,59463494.34574851,77017470.42975657,37.86733492597504,41.72772491372346,17.867334925975037,16.727724913723463,1376096939.3198392,1288327058.899799
2013,11,Novembro,2013-11,14193032.274436705,1389466026,97.89775709187876,63739548.95146529,77932581.22590199,34.18669012523099,38.276093295819194,14.186690125230989,13.276093295819194,1105605380.5112658,1034640219.1390822
2013,12,Dezembro,2013-12,14795151.931616792,1589885703,107.45991054018596,62475343.157715246,77270495.08933204,36.74614175658765,40.78878074094305,16.746141756587647,15.788780740943047,1293982664.367664,1220006904.70958
2014,1,Janeiro,2014-01,17731659.681705527,1773723759,100.03145733898913,62830466.440426834,80562126.12213236,37.614859905938246,41.5143638952679,17.614859905938246,16.5143638952679,1419090565.3658895,1330432266.9573615
2014,2,Fevereiro,2014-02,16968987.242453717,1806379994,106.45184466169692,56297114.67015672,73266101.91261044,40.02290569383258,43.864867610771064,20.022905693832577,18.864867610771064,1467000249.1509254,1382155312.9386566
2014,3,Março,2014-03,13167801.18331829,1334890866,101.37538131203823,66332744.525277294,79500545.70859559,33.47833317096061,37.65017525921595,13.47833317096061,12.650175259215949,1071534842.3336341,1005695836.4170426
2014,4,Abril,2014-04,12641641.627999777,1326430897,104.92552597457824,63536740.94051647,76178382.56851625,34.09321159417359,38.26347215880098,14.093211594173589,13.26347215880098,1073598064.4400045,1010389856.3000052
2014,5,Maio,2014-05,17538012.383633904,1696911205,96.75618695443053,61998837.88882093,79536850.27245483,36.924871335941255,40.82236272995817,16.924871335941255,15.822362729958172,1346150957.327322,1258460895.4091527
2014,6,Junho,2014-06,17151095.561705913,1740814395,101.49872868102963,65438143.84260771,82589239.40431362,36.92463199622196,40.88629481783101,16.92463199622196,15.886294817831008,1397792483.765882,1312037005.957352
2014,7,Julho,2014-07,19160326.461099915,1841261893,96.097626349854,67175334.69986898,86335661.1609689,36.88821680602554,40.77857530890557,16.88821680602554,15.778575308905573,1458055363.7780013,1362253731.4725018
2014,8,Agosto,2014-08,14686531.587423692,1442294609,98.20525700125546,66916412.89120275,81602944.47862644,34.075031049306794,38.17515349701636,14.075031049306794,13.17515349701636,1148563977.2515256,1075131319.314407
2014,9,Setembro,2014-09,17068704.31425192,1791040052,104.93122494977716,62327780.77458918,79396485.0888411,38.258566032146774,42.18366301250095,18.258566032146774,17.18366301250095,1449665965.7149618,1364322444.143702
2014,10,Outubro,2014-10,13003480.841590932,1197256377,92.07199146021273,65721106.95931397,78724587.8009049,31.90462581447024,36.078741474848364,11.90462581447024,11.078741474848364,937186760.1681814,872169355.9602267
