Mês,Dívida bruta — abertura (R$ milhões),Dívida bruta — abertura (% PIB),Fatores condicionantes (R$ milhões),Fatores condicionantes (% PIB),Necessidade de financiamento da DBGG (R$ milhões),Necessidade de financiamento da DBGG (% PIB),Juros nominais (R$ milhões),Juros nominais (% PIB),Emissões líquidas (R$ milhões),Emissões líquidas (% PIB),Ajuste cambial (R$ milhões),Ajuste cambial (% PIB),Dívida interna indexada ao câmbio (R$ milhões),Dívida interna indexada ao câmbio (% PIB),Dívida externa — metodológico (R$ milhões),Dívida externa — metodológico (% PIB),Dívida externa — outros ajustes (R$ milhões),Dívida externa — outros ajustes (% PIB),Reconhecimento de dívidas (R$ milhões),Reconhecimento de dívidas (% PIB),Privatizações (R$ milhões),Privatizações (% PIB),Efeito do crescimento do PIB sobre a dívida (p.p. do PIB),Variação mensal da dívida bruta (R$ milhões),Variação mensal da dívida bruta (p.p. do PIB),Dívida bruta — fechamento (R$ milhões),Dívida bruta — fechamento (% PIB),PIB acumulado em 12 meses (R$ milhões),Publicação BCB
2016-07-31,4130830.601327,67.536045,83162.700496,1.355023,79552.815855,1.296205,44712.622552,0.728531,34840.193303,0.567673,2129.832571,0.034703,178.079329,0.002902,1951.753242,0.031801,1480.052070,0.024115,0.000000,0.000000,0.000000,0.000000,-0.229799,83162.700496,1.125224,4213993.301823,68.661269,6137365.874976,facdbp-201812
2016-08-31,4213993.301823,68.661269,58835.458881,0.953639,57140.075504,0.926159,45960.532107,0.744955,11179.543398,0.181204,96.708781,0.001568,0.483664,0.000008,96.225118,0.001560,-570.765505,-0.009251,2169.440101,0.035164,0.000000,0.000000,-0.358452,58835.458881,0.595187,4272828.760704,69.256456,6169574.688018,facdbp-201812
2016-09-30,4272828.760704,69.256456,56874.367959,0.919542,57288.261288,0.926234,42571.840649,0.688299,14716.420639,0.237934,444.665952,0.007189,31.421200,0.000508,413.244752,0.006681,-858.559281,-0.013881,0.000000,0.000000,0.000000,0.000000,-0.173579,56874.367959,0.745963,4329703.128663,70.002419,6185076.464833,facdbp-201812
2016-10-31,4329703.128663,70.002419,805.066081,0.013000,6079.844859,0.098177,38544.882114,0.622420,-32465.037255,-0.524243,-4980.030566,-0.080417,-413.174147,-0.006672,-4566.856420,-0.073745,-294.748212,-0.004760,0.000000,0.000000,0.000000,0.000000,-0.086694,805.066081,-0.073694,4330508.194743,69.928725,6192745.808649,facdbp-201812
2016-11-30,4330508.194743,69.928725,87915.892996,1.413149,73792.831984,1.186136,39288.634835,0.631520,34504.197149,0.554616,16559.078359,0.266168,1434.144105,0.023052,15124.934254,0.243116,-2639.498330,-0.042427,203.480983,0.003271,0.000000,0.000000,-0.320699,87915.892996,1.092450,4418424.087740,71.021175,6221277.093266,facdbp-201812
2016-12-31,4418424.087740,71.021175,-39937.692767,-0.637249,-28796.664099,-0.459482,43309.574468,0.691051,-72106.238567,-1.150533,-10609.966510,-0.169293,-980.073342,-0.015638,-9629.893168,-0.153655,-561.401088,-0.008958,30.338929,0.000484,0.000000,0.000000,-0.520464,-39937.692767,-1.157713,4378486.394972,69.863462,6267205.000000,facdbp-201812
2017-01-31,4378486.394972,69.863462,20560.441413,0.326127,28912.752155,0.458610,42527.737486,0.674569,-13614.985331,-0.215959,-10091.755760,-0.160074,-981.018378,-0.015561,-9110.737382,-0.144513,1739.445018,0.027591,0.000000,0.000000,0.000000,0.000000,-0.412479,20560.441413,-0.086352,4399046.836385,69.777110,6304426.819448,facdbp-201812
2017-02-28,4399046.836385,69.777110,50959.936072,0.805483,53531.717698,0.846133,35299.699305,0.557954,18232.018393,0.288179,-2096.806995,-0.033143,-212.443912,-0.003358,-1884.363083,-0.029785,-474.974631,-0.007508,0.000000,0.000000,0.000000,0.000000,-0.244878,50959.936072,0.560606,4450006.772457,70.337716,6326629.657931,facdbp-201812
2017-03-31,4450006.772457,70.337716,76996.680672,1.212281,71287.805363,1.122397,42409.310608,0.667717,28878.494755,0.454680,5308.173903,0.083575,571.166815,0.008993,4737.007088,0.074582,-547.481840,-0.008620,948.183246,0.014929,0.000000,0.000000,-0.274209,76996.680672,0.938071,4527003.453130,71.275787,6351390.340061,facdbp-201812
2017-04-30,4527003.453130,71.275787,20701.595616,0.325176,18521.464704,0.290931,33052.091800,0.519175,-14530.627097,-0.228244,2365.166960,0.037152,304.328017,0.004780,2060.838943,0.032371,-185.036047,-0.002907,0.000000,0.000000,0.000000,0.000000,-0.166560,20701.595616,0.158616,4547705.048746,71.434403,6366267.296230,facdbp-201812
2017-05-31,4547705.048746,71.434403,85811.750509,1.340636,82484.574275,1.288655,37527.966912,0.586299,44956.607363,0.702356,3567.396578,0.055733,432.145705,0.006751,3135.250873,0.048982,-240.220344,-0.003753,0.000000,0.000000,0.000000,0.000000,-0.385674,85811.750509,0.954962,4633516.799256,72.389365,6400825.280731,facdbp-201812
2017-06-30,4633516.799256,72.389365,41081.919908,0.639913,28310.317524,0.440976,33703.215059,0.524978,-5392.897535,-0.084002,5088.570824,0.079262,626.837916,0.009764,4461.732907,0.069498,-491.830953,-0.007661,8174.862514,0.127336,0.000000,0.000000,-0.215380,41081.919908,0.424533,4674598.719164,72.813898,6419926.491689,facdbp-201812
2017-07-31,4674598.719164,72.813898,47527.664402,0.737577,60363.578013,0.936776,35701.953468,0.554055,24661.624544,0.382721,-14003.953193,-0.217326,-1816.264308,-0.028186,-12187.688886,-0.189139,1168.039583,0.018127,0.000000,0.000000,0.000000,0.000000,-0.269285,47527.664402,0.468291,4722126.383566,73.282189,6443757.246842,facdbp-201812
2017-08-31,4722126.383566,73.282189,46756.924775,0.723196,46253.919252,0.715416,39222.724134,0.606663,7031.195118,0.108752,1298.755025,0.020088,170.063942,0.002630,1128.691083,0.017458,-795.749502,-0.012308,0.000000,0.000000,0.000000,0.000000,-0.244411,46756.924775,0.478784,4768883.308342,73.760974,6465320.436695,facdbp-201812
2017-09-30,4768883.308342,73.760974,20458.278217,0.315581,19443.606566,0.299929,35390.985879,0.545927,-15947.379313,-0.245998,1676.919708,0.025868,235.689253,0.003636,1441.230455,0.022232,-662.248058,-0.010216,0.000000,0.000000,0.000000,0.000000,-0.198066,20458.278217,0.117516,4789341.586558,73.878489,6482728.107747,facdbp-201812
2017-10-31,4789341.586558,73.878489,47880.468965,0.735883,39687.861543,0.609969,35636.897420,0.547709,4050.964122,0.062260,8859.768476,0.136167,1227.520554,0.018866,7632.247922,0.117301,-667.161054,-0.010254,0.000000,0.000000,0.000000,0.000000,-0.270325,47880.468965,0.465558,4837222.055523,74.344047,6506535.816819,facdbp-201812
2017-11-30,4837222.055523,74.344047,15335.435021,0.234785,16256.508458,0.248886,33863.297539,0.518445,-17606.789081,-0.269559,-1252.854313,-0.019181,-172.494992,-0.002641,-1080.359321,-0.016540,331.780876,0.005080,0.000000,0.000000,0.000000,0.000000,-0.286425,15335.435021,-0.051641,4852557.490544,74.292406,6531700.510984,facdbp-201812
2017-12-31,4852557.490544,74.292406,2121.095930,0.032334,-586.304130,-0.008938,35439.906764,0.540247,-36026.210895,-0.549185,3747.147774,0.057122,549.017552,0.008369,3198.130222,0.048752,-1039.747714,-0.015850,0.000000,0.000000,0.000000,0.000000,-0.251492,2121.095930,-0.219158,4854678.586473,74.004921,6559940.259751,201805
2018-01-31,4854678.586473,74.004921,49596.641500,0.752809,59782.336888,0.907414,35201.208786,0.534306,24581.128102,0.373108,-11917.913002,-0.180898,-1794.448646,-0.027237,-10123.464356,-0.153660,1732.217614,0.026293,0.000000,0.000000,0.000000,0.000000,-0.317529,49596.641500,0.435280,4904275.227973,74.440201,6588207.968306,201806
