mes,ano,selic_am,selic_cf_am,ipca_acum_ano_pct,selic_cf_acum_ano_pct,estoque_selic_act,estoque_selic_cf,juros_selic_act,juros_selic_cf,emissao_selic,residuo_selic,dbgg_act,dbgg_cf,delta_estoque_selic,delta_dbgg,dbgg_pib_cf,dbgg_pib_act
2013-06-01,2013,0.61000000,0.50891252,5.91081808,6.28081808,1062571.43543474,384351.81122463,6156.10009728,1989.07233273,-43694.02533938,0.00000006,2715918.69991884,2037699.07570873,678219.62421011,678219.62421011,23.40122853,31.19000000
2013-07-01,2013,0.72000000,0.50891252,5.91081808,6.28081808,1126894.44128390,442770.59334781,7932.27665739,2028.05293141,56390.72919182,-0.00000005,2744022.88316701,2059899.03523092,684123.84793609,684123.84793609,23.12112289,30.80000000
2013-08-01,2013,0.71000000,0.50891252,5.91081808,6.28081808,1105833.61871351,415581.37781115,8530.98087090,2402.58790463,-29591.80344130,0.00000001,2749278.71312196,2059026.47221960,690252.24090236,690252.24090236,22.90238135,30.58000000
2013-09-01,2013,0.71000000,0.50891252,5.91081808,6.28081808,1055314.65154693,359307.64736579,7876.45225483,2121.68897606,-58395.41942136,-0.00000005,2747899.58222914,2051892.57804800,696007.00418114,696007.00418114,23.52892935,31.51000000
2013-10-01,2013,0.81000000,0.50891252,5.91081808,6.28081808,1057929.52784811,355306.32123675,8416.65736731,1800.45493709,-5801.78106621,0.00000008,2779361.47497339,2076738.26836203,702623.20661136,702623.20661136,23.62645688,31.62000000
2013-11-01,2013,0.72000000,0.50891252,5.91081808,6.28081808,1014452.32259739,305499.90639574,8299.37221159,1970.16262130,-51776.57746231,-0.00000000,2783266.91510965,2074314.49890800,708952.41620165,708952.41620165,22.79067704,30.58000000
2013-12-01,2013,0.79000000,0.50891252,5.91081808,6.28081808,916591.99603707,203345.16883767,5328.03490221,1033.62390446,-103956.61753153,768.25606900,2747996.70552741,2034749.87832801,713246.82719940,713246.82719940,22.58367747,30.50000000
2014-01-01,2014,0.85000000,0.54798042,6.40761660,6.77761660,1079881.09149649,360945.92556477,6637.67454960,949.33581728,156651.42090981,0.00000001,2829599.14148428,2110663.97555257,718935.16593172,718935.16593172,22.38515872,30.01000000
2014-02-01,2014,0.79000000,0.54798042,6.40761660,6.77761660,1060020.57591482,335345.03506214,7472.97164742,1732.59672646,-27333.48722912,0.00000003,2816714.16517875,2092038.62432607,724675.54085268,724675.54085268,22.54907275,30.36000000
2014-03-01,2014,0.77000000,0.54798042,6.40761660,6.77761660,1023907.27956753,292962.36122602,8090.97681122,1821.59932239,-44204.27315851,0.00000000,2835759.15967148,2104814.24132997,730944.91834151,730944.91834151,22.84615114,30.78000000
2014-04-01,2014,0.82000000,0.54798042,6.40761660,6.77761660,1092649.08789254,354736.94407564,8614.34279310,1647.11731771,60127.46553195,-0.00000004,2865058.28150892,2127146.13769202,737912.14381690,737912.14381690,22.85243499,30.78000000
2014-05-01,2014,0.87000000,0.54798042,6.40761660,6.77761660,1064624.01737920,320122.76739352,8282.86749999,1693.76133120,-36307.93801336,0.00000003,2895819.41475039,2151318.16476470,744501.24998568,744501.24998568,23.10433951,31.10000000
2014-06-01,2014,0.82000000,0.54798042,6.40761660,6.77761660,1038517.04594538,286874.81019056,8936.75922332,1795.77345418,-35043.73065712,-0.00000002,2941138.57296413,2189496.33720931,751642.23575482,751642.23575482,23.43491916,31.48000000
2014-07-01,2014,0.95000000,0.54798042,6.40761660,6.77761660,1114693.57646704,357086.93086998,7094.89911196,1130.48926972,69081.63140967,0.00000003,2983108.32741767,2225501.68182061,757606.64559706,757606.64559706,23.57468970,31.60000000
