reuniao,data,titulo,url_pdf,link,ident,n_caracteres,selic_antes,selic,delta_selic,decisao,voto,trecho,inflacao,cambio,fiscal,atividade,credito,externo,expectativas,guidance,credibilidade,pandemia,ano
164,2012-01-18,164ª Reunião,,/publicacoes/atascopom/18012012,18012012,65943,11.0,10.5,-0.5,corte,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 17 e 18/1/2012 Local: Sala de reuniões do 8º andar (17/1) e do 20º andar (18/1) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h20…,59,14,8,43,23,19,14,1,0,0,2012
165,2012-03-07,165ª Reunião,,/publicacoes/atascopom/07032012,7032012,65204,10.5,9.75,-0.75,corte,—,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 6 e 7/3/2012 Local: Sala de reuniões do 8º andar (6/3) e do 20º andar (7/3) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h20 (6/3) e…,60,17,9,40,16,19,12,1,0,0,2012
166,2012-04-18,166ª Reunião,,/publicacoes/atascopom/18042012,18042012,63101,9.75,9.0,-0.75,corte,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 17 e 18/4/2012 Local: Sala de reuniões do 8º andar (17/4) e do 20º andar (18/4) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h15…,55,15,9,40,24,14,14,1,0,0,2012
167,2012-05-30,167ª Reunião,,/publicacoes/atascopom/30052012,30052012,61731,9.0,8.5,-0.5,corte,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 29 e 30/5/2012 Local: Sala de reuniões do 8º andar (29/5) e do 20º andar (30/5) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h16…,58,15,10,38,15,16,14,1,0,0,2012
168,2012-07-11,168ª Reunião,,/publicacoes/atascopom/11072012,11072012,60511,8.5,8.0,-0.5,corte,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 10 e 11/7/2012 Local: Sala de reuniões do 8º andar (10/7) e do 20º andar (11/7) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h20…,54,15,9,46,16,15,14,1,0,0,2012
169,2012-08-29,169ª Reunião,,/publicacoes/atascopom/29082012,29082012,60438,8.0,7.5,-0.5,corte,unânime,"implementação da política monetária. 22. O Copom considera que, desde sua última reunião, os riscos para a estabilidade financeira global permaneceram elevados, em particular, os derivados do processo de desalavancagem em curso nos principais blocos econômicos. O Comitê entende que, de modo geral, mantiveram-se inalteradas as perspectivas de atividade global moderada, e pouco se alteraram as restrições às quais…",52,13,9,42,17,20,13,1,0,0,2012
170,2012-10-10,170ª Reunião,,/publicacoes/atascopom/10102012,10102012,62813,7.5,7.25,-0.25,corte,—,"implementação da política monetária. 24. O Copom considera que, desde sua última reunião, os riscos para a estabilidade financeira global permaneceram elevados, em particular os derivados do processo de desalavancagem em curso nos principais blocos econômicos. O Comitê entende que, de modo geral, mantiveram-se inalteradas as perspectivas de atividade global moderada, e pouco se alteraram as restrições às quais…",52,13,9,39,23,22,15,1,0,0,2012
171,2012-11-28,171ª Reunião,,/publicacoes/atascopom/28112012,28112012,58140,7.25,7.25,0.0,manutenção,unânime,"implementação da política monetária. 21. O Copom considera que, desde sua última reunião, os riscos para a estabilidade financeira global permaneceram elevados, em particular os derivados do processo de desalavancagem em curso nos principais blocos econômicos. Nesse contexto, apesar de identificar recuo na probabilidade de ocorrência de eventos extremos nos mercados financeiros internacionais, o Comitê pondera que…",48,16,9,31,14,13,10,1,0,0,2012
172,2013-01-16,172ª Reunião,,/publicacoes/atascopom/16012013,16012013,60173,7.25,7.25,0.0,manutenção,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 15 e 16/1/2013 Local: Sala de reuniões do 8º andar (15/1) e do 20º andar (16/1) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h25…,47,13,9,34,17,13,11,1,0,0,2013
173,2013-03-06,173ª Reunião,,/publicacoes/atascopom/06032013,6032013,59576,7.25,7.25,0.0,manutenção,unânime,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 5 e 6/3/2013 Local: Sala de reuniões do 8º andar (5/3) e do 20º andar (6/3) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h17 (5/3) e…,43,16,8,37,15,14,11,1,0,0,2013
