linha,item,jan/97–dez/02,jan/03–mai/16,jun/16–dez/18,jan/19–dez/22,jan/23–mai/26,jan/97–dez/02_R$bi,jan/03–mai/16_R$bi,jun/16–dez/18_R$bi,jan/19–dez/22_R$bi,jan/23–mai/26_R$bi
159,6.3 Ajuste Metodológico Recursos Não Sacados do PIS/PASEP (EC nº 126/2022) 11/,0.0,0.0,0.0,0.0,-29631.27,0.0,0.0,0.0,0.0,-29.63
160,6.4 Ajuste Metodológico Compensações LC nº 194/2022 (pré-Acordo União e Estados/Distrito Federal) 12/,0.0,0.0,0.0,9176.89,-8652.43,0.0,0.0,0.0,9.18,-8.65
161,7. DISCREPÂNCIA ESTATÍSTICA ,-22558.52,9751.98,-8295.26,-6590.52,-4481.9,-22.56,9.75,-8.3,-6.59,-4.48
162,8. RESULTADO PRIMÁRIO DO GOVERNO CENTRAL - ABAIXO DA LINHA (5 + 6 + 7),454363.97,1587261.0,-579795.18,-1172173.78,-398275.59,454.36,1587.26,-579.8,-1172.17,-398.28
163,9. JUROS NOMINAIS 13/,-1199875.96,-5169425.69,-1344829.7,-1964505.33,-2900281.36,-1199.88,-5169.43,-1344.83,-1964.51,-2900.28
164,10. RESULTADO NOMINAL DO GOVERNO CENTRAL (8 + 9) 14/,-745511.98,-3582164.69,-1924624.87,-3136679.11,-3298556.95,-745.51,-3582.16,-1924.62,-3136.68,-3298.56
165,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Memorando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Arrecadação Líquida para o RGPS,1543617.32,6420313.4,1531905.52,2423966.97,2431431.54,1543.62,6420.31,1531.91,2423.97,2431.43
168,Arrecadação Ordinária,1543617.32,6301666.42,1477184.49,2382311.57,2431431.54,1543.62,6301.67,1477.18,2382.31,2431.43
169,Compensação ao RGPS pelas Desonerações da Folha,0.0,118646.97,54721.03,41655.4,0.0,0.0,118.65,54.72,41.66,0.0
170,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Custeio Administrativo,0.0,412246.2,193142.23,253616.05,231077.75,0.0,412.25,193.14,253.62,231.08
172,Investimento,0.0,939827.64,219957.88,357701.32,315797.58,0.0,939.83,219.96,357.7,315.8
173,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,PAC 15/,0.0,615594.97,129370.49,39433.7,0.0,0.0,615.59,129.37,39.43,0.0
175,Minha Casa Minha Vida 17/,0.0,153908.14,21256.01,13057.4,34306.61,0.0,153.91,21.26,13.06,34.31
176,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Fundo Soberano do Brasil,0.0,-9866.99,6156.81,0.0,0.0,0.0,-9.87,6.16,0.0,0.0
